1,52,89,167,
2,52,82,153,
3,55,60,138,
4,55,53,128,
5,53,49,127,
6,52,38,122,
7,52,35,120,
8,54,29,118,
9,56,25,113,
10,59,21,116,
11,58,19,117,
12,58,21,117,
13,60,21,113,
14,65,20,113,
15,68,15,115,
16,67,13,122,
17,67,12,123,
18,71,11,133,
19,71,9,139,
20,76,9,140,
21,78,4,142,
22,74,4,151,
23,72,2,157,
24,67,2,167,
25,63,2,175,
26,64,2,182,
27,57,2,185,
28,60,2,194,
29,59,3,196,
30,60,2,204,
31,55,2,204,
32,54,2,278,
33,56,2,278,
34,56,2,298,
35,55,2,320,
36,47,2,319,
37,47,1,336,
38,49,0,343,
39,48,0,343,
40,52,0,353,
41,44,0,360,
42,34,0,363,
43,31,0,373,
44,30,0,376,
45,29,0,376,
46,25,0,380,
47,25,0,380,
48,21,0,382,
49,19,0,383,
50,13,0,384,
51,11,0,388,
52,10,0,390,
53,11,0,392,
54,10,0,392,
55,9,0,393,
56,9,0,393,
57,7,0,393,
58,7,0,394,
59,8,0,395,
60,8,0,395,
61,9,0,396,
62,9,0,396,
63,10,0,396,
64,8,0,396,
65,8,0,397,
66,8,0,399,
67,6,0,399,
68,8,0,400,
69,8,0,400,
70,5,0,400,
71,6,0,400,
72,2,0,400,
73,2,0,400,
74,2,0,400,
75,2,0,400,
76,2,0,400,
77,2,0,400,
78,2,0,400,
79,2,0,400,
80,2,0,400,
81,4,0,400,
82,0,0,400,
83,0,0,400,
84,0,0,400,
85,0,0,400,
86,0,0,400,
87,0,0,400,
88,0,0,400,
89,0,0,400,
90,0,0,400,
91,0,0,400,
92,0,0,400,
93,0,0,400,
94,0,0,400,
95,0,0,400,
96,0,0,400,
97,0,0,400,
98,0,0,400,
99,0,0,400,
100,0,0,400,
